0.154321	0.821098	0.045000	-0.06
0.432198	0.187654	0.052000	0.06
0.710543	0.334455	0.038000	0.06
0.284567	0.556789	0.061000	-0.06
0.654321	0.890123	0.040000	-0.06
0.890123	0.123456	0.047000	0.06
0.345678	0.765432	0.055000	-0.06
0.567890	0.678901	0.033000	-0.06
0.901234	0.445678	0.062000	0.06
0.190500	0.612000	0.041000	-0.06
0.410330	0.920100	0.050000	-0.06
0.730000	0.210400	0.035000	0.06
0.280110	0.150770	0.058000	0.06
0.850900	0.750800	0.042000	0.06
0.520440	0.110550	0.049000	0.06
0.180220	0.380330	0.037000	-0.06
0.620660	0.480770	0.054000	0.06
0.950880	0.650990	0.046000	0.06
0.380990	0.220110	0.039000	0.06
0.750110	0.850220	0.051000	-0.06
0.080330	0.720440	0.044000	-0.06
0.480550	0.820660	0.057000	-0.06
0.300770	0.300880	0.036000	0.06
0.220990	0.920110	0.048000	-0.06
0.580220	0.280330	0.053000	0.06
0.920440	0.220550	0.043000	0.06
0.450660	0.430770	0.038000	-0.06
0.680880	0.950990	0.034000	-0.06
0.110110	0.200220	0.046000	-0.06
0.740330	0.600440	0.059000	0.06
