0.350000	0.300000	0.040000	0.06
0.400000	0.400000	0.050000	0.06
0.490000	0.470000	0.030000	0.06
0.500000	0.600000	0.040000	-0.06
0.550000	0.700000	0.050000	-0.06
0.600000	0.450000	0.040000	0.06
0.650000	0.350000	0.030000	0.06
0.700000	0.550000	0.040000	0.06
0.750000	0.650000	0.050000	0.06
0.800000	0.750000	0.040000	0.06
0.300000	0.500000	0.030000	-0.06
0.350000	0.600000	0.040000	-0.06
0.400000	0.700000	0.050000	-0.06
0.450000	0.800000	0.040000	-0.06
0.500000	0.300000	0.030000	0.06
0.550000	0.400000	0.040000	0.06
0.650000	0.800000	0.050000	-0.06
0.700000	0.300000	0.040000	0.06
0.800000	0.400000	0.030000	0.06
0.850000	0.500000	0.040000	0.06
